learning_rate,batch_size,sampling,optimizer,train_epochs,pretrained_weights,dense_layers,max_val_acc,min_val_loss,test_acc,test_loss,plot
0.005,64,subsample,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.913306474685669,0.2152881771326065,0.8913043737411499,0.2762143015861511,"<a href=""imgs/18.jpg"" data-lightbox=""train""><img src=""imgs/18.jpg"" width=""75px""></a>"
0.005,64,subsample,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9254032373428345,0.1923692673444748,0.9057971239089966,0.2221437692642212,"<a href=""imgs/19.jpg"" data-lightbox=""train""><img src=""imgs/19.jpg"" width=""75px""></a>"
0.005,64,subsample,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9294354915618896,0.18924923241138458,0.8985507488250732,0.26695695519447327,"<a href=""imgs/20.jpg"" data-lightbox=""train""><img src=""imgs/20.jpg"" width=""75px""></a>"
0.005,64,subsample,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9254032373428345,0.20440521836280823,0.8695651888847351,0.2496507316827774,"<a href=""imgs/21.jpg"" data-lightbox=""train""><img src=""imgs/21.jpg"" width=""75px""></a>"
0.005,64,subsample,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9254032373428345,0.17600379884243011,0.9130434989929199,0.2115004062652588,"<a href=""imgs/22.jpg"" data-lightbox=""train""><img src=""imgs/22.jpg"" width=""75px""></a>"
0.005,64,subsample,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9233871102333069,0.1945704221725464,0.9130434989929199,0.24981410801410675,"<a href=""imgs/23.jpg"" data-lightbox=""train""><img src=""imgs/23.jpg"" width=""75px""></a>"
0.005,64,subsample,rmsprop,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9254032373428345,0.19487440586090088,0.8840579986572266,0.2595708966255188,"<a href=""imgs/24.jpg"" data-lightbox=""train""><img src=""imgs/24.jpg"" width=""75px""></a>"
0.005,64,class_weight,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9254032373428345,0.19608157873153687,0.9311594367027283,0.2206936478614807,"<a href=""imgs/25.jpg"" data-lightbox=""train""><img src=""imgs/25.jpg"" width=""75px""></a>"
0.005,64,class_weight,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9254032373428345,0.1789022833108902,0.9166666865348816,0.24200782179832458,"<a href=""imgs/26.jpg"" data-lightbox=""train""><img src=""imgs/26.jpg"" width=""75px""></a>"
0.005,64,class_weight,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9334677457809448,0.22699545323848724,0.8840579986572266,0.27647343277931213,"<a href=""imgs/27.jpg"" data-lightbox=""train""><img src=""imgs/27.jpg"" width=""75px""></a>"
0.005,64,class_weight,std_adam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9254032373428345,0.18624553084373474,0.9130434989929199,0.28810739517211914,"<a href=""imgs/28.jpg"" data-lightbox=""train""><img src=""imgs/28.jpg"" width=""75px""></a>"
0.005,64,class_weight,radam,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9294354915618896,0.16912944614887238,0.9057971239089966,0.2371787428855896,"<a href=""imgs/29.jpg"" data-lightbox=""train""><img src=""imgs/29.jpg"" width=""75px""></a>"
0.005,64,class_weight,rmsprop,25,imagenet,"[Dense 128, relu], [Dropout 0.4, 42], [Dense 256, relu], [Dropout 0.4, 42]",0.9173387289047241,0.21000121533870697,0.9057971239089966,0.2480383813381195,"<a href=""imgs/30.jpg"" data-lightbox=""train""><img src=""imgs/30.jpg"" width=""75px""></a>"
0.005,64,class_weight,std_adam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9274193644523621,0.18512775003910065,0.9094203114509583,0.2299230545759201,"<a href=""imgs/31.jpg"" data-lightbox=""train""><img src=""imgs/31.jpg"" width=""75px""></a>"
0.005,64,class_weight,radam,25,imagenet,"[Dense 256, relu], [Dropout 0.4, 42], [Dense 128, relu], [Dropout 0.4, 42]",0.9274193644523621,0.1707126647233963,0.9094203114509583,0.21486912667751312,"<a href=""imgs/32.jpg"" data-lightbox=""train""><img src=""imgs/32.jpg"" width=""75px""></a>"
